"Wavelength nm.","Abs."
500.00,0.064
500.50,0.064
501.00,0.063
501.50,0.063
502.00,0.063
502.50,0.062
503.00,0.062
503.50,0.062
504.00,0.062
504.50,0.062
505.00,0.063
505.50,0.063
506.00,0.063
506.50,0.063
507.00,0.064
507.50,0.064
508.00,0.064
508.50,0.065
509.00,0.066
509.50,0.066
510.00,0.067
510.50,0.068
511.00,0.068
511.50,0.069
512.00,0.070
512.50,0.071
513.00,0.072
513.50,0.073
514.00,0.074
514.50,0.075
515.00,0.076
515.50,0.077
516.00,0.079
516.50,0.080
517.00,0.082
517.50,0.083
518.00,0.084
518.50,0.086
519.00,0.088
519.50,0.089
520.00,0.091
520.50,0.093
521.00,0.094
521.50,0.096
522.00,0.098
522.50,0.100
523.00,0.102
523.50,0.104
524.00,0.106
524.50,0.108
525.00,0.110
525.50,0.112
526.00,0.115
526.50,0.117
527.00,0.119
527.50,0.121
528.00,0.123
528.50,0.125
529.00,0.128
529.50,0.130
530.00,0.133
530.50,0.135
531.00,0.137
531.50,0.140
532.00,0.142
532.50,0.145
533.00,0.147
533.50,0.150
534.00,0.152
534.50,0.155
535.00,0.157
535.50,0.160
536.00,0.163
536.50,0.165
537.00,0.168
537.50,0.171
538.00,0.173
538.50,0.176
539.00,0.179
539.50,0.182
540.00,0.184
540.50,0.187
541.00,0.190
541.50,0.193
542.00,0.196
542.50,0.199
543.00,0.202
543.50,0.204
544.00,0.208
544.50,0.211
545.00,0.213
545.50,0.217
546.00,0.219
546.50,0.222
547.00,0.226
547.50,0.229
548.00,0.232
548.50,0.235
549.00,0.238
549.50,0.241
550.00,0.244
550.50,0.247
551.00,0.250
551.50,0.254
552.00,0.257
552.50,0.260
553.00,0.263
553.50,0.266
554.00,0.269
554.50,0.272
555.00,0.275
555.50,0.278
556.00,0.281
556.50,0.284
557.00,0.287
557.50,0.291
558.00,0.294
558.50,0.297
559.00,0.300
559.50,0.303
560.00,0.306
560.50,0.309
561.00,0.312
561.50,0.316
562.00,0.319
562.50,0.322
563.00,0.325
563.50,0.328
564.00,0.331
564.50,0.335
565.00,0.338
565.50,0.341
566.00,0.345
566.50,0.348
567.00,0.351
567.50,0.355
568.00,0.358
568.50,0.361
569.00,0.365
569.50,0.368
570.00,0.371
570.50,0.375
571.00,0.378
571.50,0.381
572.00,0.385
572.50,0.388
573.00,0.392
573.50,0.395
574.00,0.399
574.50,0.402
575.00,0.405
575.50,0.409
576.00,0.412
576.50,0.415
577.00,0.419
577.50,0.422
578.00,0.425
578.50,0.429
579.00,0.432
579.50,0.435
580.00,0.439
580.50,0.442
581.00,0.445
581.50,0.448
582.00,0.451
582.50,0.455
583.00,0.458
583.50,0.461
584.00,0.465
584.50,0.468
585.00,0.471
585.50,0.474
586.00,0.477
586.50,0.480
587.00,0.484
587.50,0.487
588.00,0.490
588.50,0.493
589.00,0.496
589.50,0.499
590.00,0.502
590.50,0.505
591.00,0.508
591.50,0.511
592.00,0.514
592.50,0.516
593.00,0.519
593.50,0.522
594.00,0.525
594.50,0.527
595.00,0.530
595.50,0.532
596.00,0.534
596.50,0.537
597.00,0.539
597.50,0.541
598.00,0.543
598.50,0.545
599.00,0.547
599.50,0.548
600.00,0.550
600.50,0.552
601.00,0.553
601.50,0.555
602.00,0.557
602.50,0.558
603.00,0.559
603.50,0.561
604.00,0.562
604.50,0.563
605.00,0.565
605.50,0.566
606.00,0.567
606.50,0.568
607.00,0.569
607.50,0.570
608.00,0.571
608.50,0.572
609.00,0.574
609.50,0.575
610.00,0.576
610.50,0.576
611.00,0.577
611.50,0.578
612.00,0.579
612.50,0.580
613.00,0.581
613.50,0.581
614.00,0.582
614.50,0.583
615.00,0.584
615.50,0.584
616.00,0.585
616.50,0.585
617.00,0.586
617.50,0.586
618.00,0.587
618.50,0.587
619.00,0.588
619.50,0.588
620.00,0.588
620.50,0.588
621.00,0.589
621.50,0.589
622.00,0.589
622.50,0.589
623.00,0.589
623.50,0.590
624.00,0.590
624.50,0.590
625.00,0.590
625.50,0.590
626.00,0.590
626.50,0.590
627.00,0.590
627.50,0.590
628.00,0.589
628.50,0.589
629.00,0.589
629.50,0.589
630.00,0.589
630.50,0.589
631.00,0.588
631.50,0.588
632.00,0.588
632.50,0.587
633.00,0.587
633.50,0.586
634.00,0.586
634.50,0.585
635.00,0.585
635.50,0.584
636.00,0.583
636.50,0.582
637.00,0.582
637.50,0.581
638.00,0.580
638.50,0.579
639.00,0.578
639.50,0.577
640.00,0.576
640.50,0.575
641.00,0.573
641.50,0.572
642.00,0.571
642.50,0.570
643.00,0.568
643.50,0.567
644.00,0.566
644.50,0.564
645.00,0.563
645.50,0.561
646.00,0.560
646.50,0.559
647.00,0.557
647.50,0.556
648.00,0.554
648.50,0.553
649.00,0.551
649.50,0.550
650.00,0.549
650.50,0.547
651.00,0.546
651.50,0.544
652.00,0.543
652.50,0.542
653.00,0.540
653.50,0.539
654.00,0.538
654.50,0.536
655.00,0.535
655.50,0.534
656.00,0.533
656.50,0.531
657.00,0.530
657.50,0.529
658.00,0.528
658.50,0.527
659.00,0.526
659.50,0.524
660.00,0.523
660.50,0.522
661.00,0.521
661.50,0.520
662.00,0.519
662.50,0.518
663.00,0.516
663.50,0.515
664.00,0.514
664.50,0.513
665.00,0.512
665.50,0.511
666.00,0.510
666.50,0.509
667.00,0.508
667.50,0.507
668.00,0.506
668.50,0.505
669.00,0.504
669.50,0.503
670.00,0.502
670.50,0.501
671.00,0.500
671.50,0.499
672.00,0.498
672.50,0.497
673.00,0.496
673.50,0.494
674.00,0.493
674.50,0.492
675.00,0.491
675.50,0.490
676.00,0.489
676.50,0.487
677.00,0.486
677.50,0.485
678.00,0.483
678.50,0.482
679.00,0.481
679.50,0.479
680.00,0.478
680.50,0.476
681.00,0.475
681.50,0.473
682.00,0.471
682.50,0.469
683.00,0.468
683.50,0.466
684.00,0.464
684.50,0.462
685.00,0.460
685.50,0.458
686.00,0.456
686.50,0.453
687.00,0.451
687.50,0.449
688.00,0.446
688.50,0.444
689.00,0.441
689.50,0.439
690.00,0.436
690.50,0.433
691.00,0.430
691.50,0.427
692.00,0.425
692.50,0.421
693.00,0.418
693.50,0.415
694.00,0.412
